"Average of  PRICE, ¢ GH"	Column Labels															
Row Labels	COCOYAM	LOCAL RICE	MAIZE	MILLET	SORGHUM	YAM	Grand Total		Row Labels	COCOYAM	LOCAL RICE	MAIZE	MILLET	SORGHUM	YAM	Grand Total
2008	32.35166667	18.2705	14.36258333	1.9255	541.0089167	101.2625	118.1969444		2008	32.35166667	18.2705	14.36258333	1.9255	541.0089167	101.2625	118.1969444
2009	37.41166667	17.91758333	14.63208333	6.31875	665.8466667	120.1025	143.704875		2009	37.41166667	17.91758333	14.63208333	6.31875	665.8466667	120.1025	143.704875
2010	47.45166667	29.75691667	17.22508333	6.793	685.0083333	146.1016667	155.3894444		2010	47.45166667	29.75691667	17.22508333	6.793	685.0083333	146.1016667	155.3894444
2011	55.8725	43.70958333	18.35716667	5.236666667	0.00925	161.7333333	47.48641667		2011	55.8725	43.70958333	18.35716667	5.236666667	0.00925	161.7333333	47.48641667
2012	75.76666667	67.15591667	30.52708333	6.189583333	0.01	214.9191667	65.76140278		2012	75.76666667	67.15591667	30.52708333	6.189583333	0.01	214.9191667	65.76140278
2013	107.3561538	79.73553846	43.99676923	11.11653846	0.009461538	243.4523077	80.94446154		2013	107.3561538	79.73553846	43.99676923	11.11653846	0.009461538	243.4523077	80.94446154
2014	120.6272727	66.45854545	70.91872727	19.71463636	0.012727273	270.4018182	91.35562121		2014	120.6272727	66.45854545	70.91872727	19.71463636	0.012727273	270.4018182	91.35562121
2015	138.4366667	91.02275833	87.19016667	19.80258333	0.01525	319.3775	109.3074875		2015	138.4366667	91.02275833	87.19016667	19.80258333	0.01525	319.3775	109.3074875
2016	202.25	189.5405833	72.27216667	18.72816667	0.018333333	433.995	152.8007083		2016	202.25	189.5405833	72.27216667	18.72816667	0.018333333	433.995	152.8007083
2017	204.38	209.9109167	104.4720917	19.2305	0.0325	516.4208333	175.7411403		2017	204.38	209.9109167	104.4720917	19.2305	0.0325	516.4208333	175.7411403
Grand Total	102.0798333	81.45852583	47.1710425	11.43394167	189.1971167	252.5520833	113.9820906		Grand Total	102.0798333	81.45852583	47.1710425	11.43394167	189.1971167	252.5520833	113.9820906
																
																
"Average of  PRICE, ¢ GH"	Column Labels								"Average of  PRICE, ¢ GH"	Column Labels						
Row Labels	COCOYAM	LOCAL RICE	MAIZE	MILLET	SORGHUM	YAM	Grand Total		Row Labels	COCOYAM	LOCAL RICE	MAIZE	MILLET	SORGHUM	YAM	Grand Total
JANUARY	89.433	70.4076	39.2423	10.4195	162.7468	224.597	99.47436667		JANUARY	89.433	70.4076	39.2423	10.4195	162.7468	224.597	99.47436667
FEBRUARY	92.948	72.0465	40.859	10.4438	167.4194	230.296	102.33545		FEBRUARY	92.948	72.0465	40.859	10.4438	167.4194	230.296	102.33545
MARCH	90.192	73.8912	42.3768	11.053	174.072	244.457	106.007		MARCH	90.192	73.8912	42.3768	11.053	174.072	244.457	106.007
APRIL	99.417	77.6954	44.1368	11.6673	202.7696	262.855	116.4235167		APRIL	99.417	77.6954	44.1368	11.6673	202.7696	262.855	116.4235167
MAY	109.368	81.2337	45.5316	13.0204	220.3274	287.437	126.1530167		MAY	109.368	81.2337	45.5316	13.0204	220.3274	287.437	126.1530167
JUNE	109.383	81.0711	46.133	13.3016	249.4741	308.631	134.6656333		JUNE	109.383	81.0711	46.133	13.3016	249.4741	308.631	134.6656333
JULY	109.594	78.02	48.1623	13.1122	243.756	297.02	131.61075		JULY	109.594	78.02	48.1623	13.1122	243.756	297.02	131.61075
AUGUST	108.2	68.3053	50.08141	11.2829	199.472	252.373	114.952435		AUGUST	108.2	68.3053	50.08141	11.2829	199.472	252.373	114.952435
SEPTEMBER	102.611	88.85471	50.4555	11.1917	156.625	221.767	105.2508183		SEPTEMBER	102.611	88.85471	50.4555	11.1917	156.625	221.767	105.2508183
OCTOBER	104.261	87.0671	51.191	9.9463	153.6237	222.109	104.6996833		OCTOBER	104.261	87.0671	51.191	9.9463	153.6237	222.109	104.6996833
NOVEMBER	105.127	97.4328	51.6515	10.9514	165.5627	229.669	110.0657333		NOVEMBER	105.127	97.4328	51.6515	10.9514	165.5627	229.669	110.0657333
DECEMBER	104.424	101.4769	56.2313	10.8172	174.5167	249.414	116.1466833		DECEMBER	104.424	101.4769	56.2313	10.8172	174.5167	249.414	116.1466833
Grand Total	102.0798333	81.45852583	47.1710425	11.43394167	189.1971167	252.5520833	113.9820906		Grand Total	102.0798333	81.45852583	47.1710425	11.43394167	189.1971167	252.5520833	113.9820906
																
																
"Average of  PRICE, ¢ GH"	Column Labels								"Average of  PRICE, ¢ GH"	Column Labels						
Row Labels	COCOYAM	LOCAL RICE	MAIZE	MILLET	SORGHUM	YAM	Grand Total		Row Labels	COCOYAM	LOCAL RICE	MAIZE	MILLET	SORGHUM	YAM	Grand Total
91	102.0798333						102.0798333		91	102.0798333						102.0798333
93				11.43394167			11.43394167		93				11.43394167			11.43394167
100		81.45852583	47.1710425				64.31478417		100		81.45852583	47.1710425				64.31478417
109					189.1971167		189.1971167		109					189.1971167		189.1971167
250						252.5520833	252.5520833		250						252.5520833	252.5520833
Grand Total	102.0798333	81.45852583	47.1710425	11.43394167	189.1971167	252.5520833	113.9820906		Grand Total	102.0798333	81.45852583	47.1710425	11.43394167	189.1971167	252.5520833	113.9820906
