Average of TOTAL RAINFALL(MM),,,,,,,,,,,,
Regions,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Grand Total,AVG
WESTERN,1518,1385,1749,1445,1298,1025,1654,1144,1268,1780,14266,1426.6
EASTERN,1454,1211,1477,1337,1204,1080,1271,999,1171,1547,12751,1275.1
ASHANTI,1412,1380,1397,1170,1224,1215,1381,1025,790,1303,12297,1229.7
CENTRAL,1361,1195,1359,1144,1029,920,1447,1051,894,1551,11951,1195.1
BRONG AHAFO,1366,1148,1251,823,1049,1814,1239,1048,852,1061,11651,1165.1
VOLTA,1436,1212,1009,928,1061,1075,1368,1213,1085,1189,11576,1157.6
NORTHERN,1223,1292,1361,1083,1002,1066,1084,870,860,1017,10858,1085.8
UPPER EAST,902,884,984,665,956,997,707,918,503,857,8373,837.3
GREATER ACCRA,914,805,871,812,646,365,777,689,786,833,7498,749.8
UPPER WEST,1171,1086,630,523,1136,434,300,724,448,747,7199,719.9
Grand Total,1275.7,1159.8,1208.8,993,1060.5,999.1,1122.8,968.1,865.7,1188.5,108420,1084.2
,,,,,,,,,,,,
,,,,,,,,,,,,
Row Labels,Average of TOTAL RAINFALL(MM),,,,,,,,,,,
WESTERN,1426.6,,,,,,,,,,,
EASTERN,1275.1,,,,,,,,,,,
ASHANTI,1229.7,,,,,,,,,,,
CENTRAL,1195.1,,,,,,,,,,,
BRONG AHAFO,1165.1,,,,,,,,,,,
VOLTA,1157.6,,,,,,,,,,,
NORTHERN,1085.8,,,,,,,,,,,
UPPER EAST,837.3,,,,,,,,,,,
GREATER ACCRA,749.8,,,,,,,,,,,
UPPER WEST,719.9,,,,,,,,,,,
Grand Total,1084.2,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Row Labels,Sum of TOTAL RAINFALL(MM),,,,,,,,,,,
2008,12757,,,,,,,,,,,
2010,12088,,,,,,,,,,,
2017,11885,,,,,,,,,,,
2009,11598,,,,,,,,,,,
2014,11228,,,,,,,,,,,
2012,10605,,,,,,,,,,,
2013,9991,,,,,,,,,,,
2011,9930,,,,,,,,,,,
2015,9681,,,,,,,,,,,
2016,8657,,,,,,,,,,,
Grand Total,108420,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Row Labels,Average of TOTAL RAINFALL(MM),,,,,,,,,,,
2008,1275.7,,,,,,,,,,,
2009,1159.8,,,,,,,,,,,
2010,1208.8,,,,,,,,,,,
2011,993,,,,,,,,,,,
2012,1060.5,,,,,,,,,,,
2013,999.1,,,,,,,,,,,
2014,1122.8,,,,,,,,,,,
2015,968.1,,,,,,,,,,,
2016,865.7,,,,,,,,,,,
2017,1188.5,,,,,,,,,,,
Grand Total,1084.2,,,,,,,,,,,
